Case,Average Final Value,Rank
case19,233243.2,1.0
case20,233396.2,2.0
case23,233795.2,3.0
case7,233953.4,4.0
case3,234448.4,5.0
case4,235246.4,6.0
case24,235447.2,7.0
case8,236234.2,8.0
case17,236984.4,9.0
case18,237667.0,10.0
case5,237680.6,11.0
case1,237720.0,12.0
case21,238264.6,13.0
case2,238428.2,14.0
case6,238882.2,15.0
case22,239918.6,16.0
case15,240111.4,17.0
case9,242718.8,18.0
case11,243883.4,19.0
case13,245249.0,20.0
case12,245343.4,21.0
case16,245622.6,22.0
case14,247100.8,23.0
case10,248773.2,24.0
